season,celebrity_name,pro_name,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,is_us,state_population_2020
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,5024279.0
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,7029917.0
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1362359.0
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,13002700.0
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,False,
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,6785528.0
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,11799448.0
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,6910840.0
2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,False,
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,2961279.0
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,7705281.0
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,39538223.0
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,4657757.0
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,6177224.0
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,39538223.0
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,1455271.0
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,True,21538187.0
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,True,39538223.0
3,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,False,
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,True,13002700.0
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,True,39538223.0
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,True,5118425.0
3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,True,6154913.0
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,True,1097379.0
3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,True,39538223.0
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,True,6785528.0
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,True,21538187.0
4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,True,7705281.0
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,True,4505836.0
4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,True,4657757.0
4,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,False,
4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,True,9288994.0
4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,True,20201249.0
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,True,3605944.0
4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,True,21538187.0
4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,True,5118425.0
4,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,Eliminated Week 2,11,False,
4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,Eliminated Week 3,10,True,6154913.0
5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,True,21538187.0
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,Eliminated Week 8,5,False,
5,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,Eliminated Week 4,9,True,10077331.0
5,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,1st Place,1,False,
5,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,Eliminated Week 7,6,False,
5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,Eliminated Week 9,4,True,12812508.0
5,Josie Maran,Alec Mazo,Model,California,United States,29,Eliminated Week 1,12,True,39538223.0
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,3rd Place,3,True,3271616.0
5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,Eliminated Week 5,8,True,13002700.0
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,2nd Place,2,False,
5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,Eliminated Week 6,7,True,39538223.0
5,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,Eliminated Week 3,10,True,8631393.0
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,True,39538223.0
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,False,
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,True,13002700.0
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,True,39538223.0
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,True,6177224.0
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,True,20201249.0
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,True,12812508.0
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,False,
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,True,7029917.0
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,True,20201249.0
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,True,29145505.0
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,True,20201249.0
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,True,3605944.0
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,True,3190369.0
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,True,29145505.0
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,True,9288994.0
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,True,39538223.0
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,True,2961279.0
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,True,2937880.0
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,True,39538223.0
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,True,20201249.0
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,True,20201249.0
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,True,39538223.0
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,True,6177224.0
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,True,21538187.0
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,Eliminated Week 2,13,True,39538223.0
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,Eliminated Week 8,6,True,989948.0
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,Eliminated Week 5,9,True,10077331.0
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,Eliminated Week 3,12,True,12812508.0
