NAME,state,P1_001N
Alabama,01,5024279
Alaska,02,733391
Arizona,04,7151502
Arkansas,05,3011524
California,06,39538223
Colorado,08,5773714
Connecticut,09,3605944
Delaware,10,989948
District of Columbia,11,689545
Florida,12,21538187
Georgia,13,10711908
Hawaii,15,1455271
Idaho,16,1839106
Illinois,17,12812508
Indiana,18,6785528
Iowa,19,3190369
Kansas,20,2937880
Kentucky,21,4505836
Louisiana,22,4657757
Maine,23,1362359
Maryland,24,6177224
Massachusetts,25,7029917
Michigan,26,10077331
Minnesota,27,5706494
Mississippi,28,2961279
Missouri,29,6154913
Montana,30,1084225
Nebraska,31,1961504
Nevada,32,3104614
New Hampshire,33,1377529
New Jersey,34,9288994
New Mexico,35,2117522
New York,36,20201249
North Carolina,37,10439388
North Dakota,38,779094
Ohio,39,11799448
Oklahoma,40,3959353
Oregon,41,4237256
Pennsylvania,42,13002700
Puerto Rico,72,3285874
Rhode Island,44,1097379
South Carolina,45,5118425
South Dakota,46,886667
Tennessee,47,6910840
Texas,48,29145505
Utah,49,3271616
Vermont,50,643077
Virginia,51,8631393
Washington,53,7705281
West Virginia,54,1793716
Wisconsin,55,5893718
Wyoming,56,576851
