season,mechanism,alpha,sigma_scale,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_mode_prob_se,champion_entropy,tpi_season_avg,tpi_n,tpi_std,tpi_p05,tpi_p95,tpi_boot_p025,tpi_boot_p975,fan_vs_uniform_contrast,fan_vs_uniform_contrast_se,robust_fail_rate,robust_fail_rate_se,robust_fail_rate_fixed,robust_fail_rate_fixed_se,robust_fail_rate_random_bottom_k,robust_fail_rate_random_bottom_k_se,robust_fail_rate_add,robust_fail_rate_add_se,robust_fail_rate_redistribute,robust_fail_rate_redistribute_se,outlier_mult
1,percent,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.52,0.049959983987187186,0.7893484099407655,0.6917694444444444,100,0.10482593585782994,0.5944444444444444,0.7999999999999999,0.6688952083333333,0.7124340277777778,0.48,0.049959983987187186,0.59,0.04918333050943175,,,0.45,0.049749371855331,0.52,0.049959983987187186,0.78,0.04142463035441595,2.0
1,percent,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.52,0.049959983987187186,0.7893484099407655,0.6917694444444444,100,0.10482593585782994,0.5944444444444444,0.7999999999999999,0.6688952083333333,0.7124340277777778,0.48,0.049959983987187186,0.65,0.047696960070847276,,,0.47,0.04990991885387112,0.61,0.048774993593028795,0.84,0.036660605559646724,5.0
1,percent,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.52,0.049959983987187186,0.7893484099407655,0.6917694444444444,100,0.10482593585782994,0.5944444444444444,0.7999999999999999,0.6688952083333333,0.7124340277777778,0.48,0.049959983987187186,0.65,0.047696960070847276,,,0.41,0.04918333050943175,0.73,0.044395945760846225,0.84,0.036660605559646724,10.0
1,rank,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.52,0.049959983987187186,0.7409540795220216,0.6940694444444443,100,0.10465027190523266,0.5944444444444444,0.7999999999999999,0.6764798611111109,0.717503472222222,0.48,0.049959983987187186,0.52,0.049959983987187186,,,0.46,0.04983974317750845,0.49,0.04998999899979995,0.68,0.0466476151587624,2.0
1,rank,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.52,0.049959983987187186,0.7409540795220216,0.6940694444444443,100,0.10465027190523266,0.5944444444444444,0.7999999999999999,0.6764798611111109,0.717503472222222,0.48,0.049959983987187186,0.63,0.048280430818293245,,,0.5,0.05,0.54,0.04983974317750845,0.78,0.04142463035441595,5.0
1,rank,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.52,0.049959983987187186,0.7409540795220216,0.6940694444444443,100,0.10465027190523266,0.5944444444444444,0.7999999999999999,0.6764798611111109,0.717503472222222,0.48,0.049959983987187186,0.7,0.045825756949558406,,,0.53,0.04990991885387112,0.61,0.048774993593028795,0.78,0.04142463035441595,10.0
1,percent_judge_save,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.54,0.04983974317750845,0.848082357872912,0.6937916666666668,100,0.11007645637736106,0.5944444444444444,0.8047916666666663,0.6765243055555555,0.716284375,0.46,0.04983974317750845,0.44,0.04963869458396343,,,0.41,0.04918333050943175,0.38,0.048538644398046386,0.62,0.048538644398046386,2.0
1,percent_judge_save,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.54,0.04983974317750845,0.848082357872912,0.6937916666666668,100,0.11007645637736106,0.5944444444444444,0.8047916666666663,0.6765243055555555,0.716284375,0.46,0.04983974317750845,0.53,0.04990991885387112,,,0.44,0.04963869458396343,0.46,0.04983974317750845,0.94,0.023748684174075843,5.0
1,percent_judge_save,0.5,2.0,100,2,Kelly Monaco,Kelly Monaco,0.54,0.04983974317750845,0.848082357872912,0.6937916666666668,100,0.11007645637736106,0.5944444444444444,0.8047916666666663,0.6765243055555555,0.716284375,0.46,0.04983974317750845,0.52,0.049959983987187186,,,0.44,0.04963869458396343,0.56,0.04963869458396342,0.94,0.023748684174075843,10.0
1,percent_sqrt,0.5,2.0,100,2,Kelly Monaco,John O'Hurley,0.51,0.04998999899979995,0.8592151056796435,0.7048166666666669,100,0.10634279667208493,0.5944444444444444,0.7999999999999999,0.6841403472222221,0.7245434027777776,0.55,0.049749371855330994,0.52,0.049959983987187186,,,0.44,0.04963869458396343,0.51,0.04998999899979995,0.7,0.045825756949558406,2.0
1,percent_sqrt,0.5,2.0,100,2,Kelly Monaco,John O'Hurley,0.51,0.04998999899979995,0.8592151056796435,0.7048166666666669,100,0.10634279667208493,0.5944444444444444,0.7999999999999999,0.6841403472222221,0.7245434027777776,0.55,0.049749371855330994,0.61,0.048774993593028795,,,0.44,0.04963869458396343,0.6,0.04898979485566356,0.82,0.0384187454245971,5.0
1,percent_sqrt,0.5,2.0,100,2,Kelly Monaco,John O'Hurley,0.51,0.04998999899979995,0.8592151056796435,0.7048166666666669,100,0.10634279667208493,0.5944444444444444,0.7999999999999999,0.6841403472222221,0.7245434027777776,0.55,0.049749371855330994,0.66,0.04737087712930804,,,0.45,0.049749371855331,0.65,0.047696960070847276,0.82,0.0384187454245971,10.0
1,percent_log,0.5,2.0,100,2,Kelly Monaco,John O'Hurley,0.51,0.04998999899979995,0.9167063262303667,0.707586111111111,100,0.10773621514981545,0.5944444444444444,0.7999999999999999,0.6870054861111111,0.7257184722222221,0.57,0.04950757517794625,0.66,0.04737087712930804,,,0.46,0.04983974317750845,0.53,0.04990991885387112,0.65,0.047696960070847276,2.0
1,percent_log,0.5,2.0,100,2,Kelly Monaco,John O'Hurley,0.51,0.04998999899979995,0.9167063262303667,0.707586111111111,100,0.10773621514981545,0.5944444444444444,0.7999999999999999,0.6870054861111111,0.7257184722222221,0.57,0.04950757517794625,0.66,0.04737087712930804,,,0.5,0.05,0.6,0.04898979485566356,0.8,0.04,5.0
