season,week,nactive,corr,observedexit,pexit
9,1,16,0.3362846489561547,Ashley Hamiliton|Macy Gray,0.0358591501628455
21,2,13,0.5183069285794865,Chaka Khan|Kim Zolciak-Biermann|Victor Espinoza,0.0399078171086212
34,2,14,0.1237690696413631,Baron Davis|Corey Feldman,0.0506298854467946
25,2,13,0.2489686092503503,Barbara Corcoran|Debbie Gibson,0.0586825554106725
33,2,13,-0.2869359088834858,Anna Delvey|Tori Spelling,0.058939263757328
31,5,12,-0.3017562435036767,Joseph Baena|Selma Blair,0.0628552219156079
30,4,13,0.336554605473879,Brian Austin Green|Matt James,0.0681036901613811
7,1,13,-0.1438485297890913,Jeffrey Ross|Ted McGinley,0.0708098764855484
9,3,13,-0.0137932215358147,Debi Mazar|Tom DeLay,0.0737009025595624
28,2,12,-0.1130805588384351,Mary Wilson|Ray Lewis,0.0901749472558543
15,3,11,0.0841452291007611,Drew Lachey|Helio Castroneves,0.0974643474583512
7,2,11,-0.473594504567854,Kim Kardashian|Misty May-Treanor,0.1012219451438088
