season,nweeks,diffweeks,matchpercent,matchrank,matchpercentjs
20,10,5,1.0,0.375,0.1428571428571428
15,10,3,1.0,0.5714285714285714,0.25
27,9,3,1.0,0.5714285714285714,0.0
24,10,3,1.0,0.625,0.4285714285714285
21,11,2,1.0,0.7142857142857143,0.6
22,10,2,1.0,0.7142857142857143,0.6
25,10,2,1.0,0.75,0.5
34,11,2,1.0,0.75,0.1428571428571428
11,10,2,1.0,0.7777777777777778,0.6666666666666666
17,11,2,1.0,0.7777777777777778,0.5555555555555556
32,11,2,1.0,0.7777777777777778,0.2222222222222222
26,4,1,1.0,0.6666666666666666,
