season,alpha,fan_source_mechanism,count_withdraw_as_exit,n_weeks,n_exit_weeks,n_single_exit_weeks,n_multi_exit_weeks,match_rate_percent,match_rate_rank,match_rate_percent_judge_save,match_rate_rank_judge_save,diff_weeks_percent_vs_rank,mean_fan_share_observed,mean_fan_share_pred_percent,mean_fan_share_pred_rank,mean_judge_pct_observed,mean_judge_pct_pred_percent,mean_judge_pct_pred_rank
1,0.5,rank,0,6,3,3,0,1.0,1.0,0.6666666666666666,0.3333333333333333,0,0.06913426517056875,0.06913426517056875,0.06913426517056875,0.18380181108572483,0.18380181108572483,0.18380181108572483
2,0.5,rank,0,8,7,7,0,1.0,1.0,0.8571428571428571,0.8571428571428571,0,0.05506984173868781,0.05506984173868781,0.05506984173868781,0.12880147365318542,0.12880147365318542,0.12880147365318542
3,0.5,rank,0,10,7,7,0,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,1,0.04932244883257297,0.04932244883257297,0.06702094939925067,0.13462988129863332,0.13462988129863332,0.13226208335072487
4,0.5,rank,0,10,8,8,0,1.0,1.0,0.875,0.875,0,0.052459391343976355,0.052459391343976355,0.052459391343976355,0.1271455087423343,0.1271455087423343,0.1271455087423343
5,0.5,rank,0,10,9,9,0,1.0,1.0,1.0,0.7777777777777778,0,0.04406835604866835,0.04406835604866835,0.04406835604866835,0.1300610049208372,0.1300610049208372,0.1300610049208372
6,0.5,rank,0,10,8,7,1,1.0,1.0,1.0,0.7142857142857143,0,0.049585686384633836,0.049585686384633836,0.049585686384633836,0.1328162616828146,0.1328162616828146,0.1328162616828146
7,0.5,rank,0,10,8,7,1,0.875,1.0,1.0,0.7142857142857143,1,0.05477162723073155,0.050353457191482,0.05477162723073155,0.12662946689143872,0.12889191033035274,0.12662946689143872
8,0.5,rank,0,11,9,8,1,1.0,1.0,0.875,1.0,0,0.050404177505891844,0.050404177505891844,0.050404177505891844,0.11914801049320659,0.11914801049320659,0.11914801049320659
9,0.5,rank,0,10,9,6,3,1.0,0.8888888888888888,0.8333333333333334,0.6666666666666666,1,0.03836481824880999,0.03836481824880999,0.04000430573301497,0.11106105196034516,0.11106105196034516,0.11019972551762337
10,0.5,rank,0,10,8,8,0,1.0,1.0,0.875,0.75,0,0.05679195121555937,0.05679195121555937,0.05679195121555937,0.1267819680425603,0.1267819680425603,0.1267819680425603
11,0.5,rank,0,10,9,9,0,1.0,1.0,0.8888888888888888,0.5555555555555556,0,0.04220626519734121,0.04220626519734121,0.04220626519734121,0.12740127081211197,0.12740127081211197,0.12740127081211197
12,0.5,rank,0,10,8,8,0,1.0,1.0,1.0,0.875,0,0.051730957433215236,0.051730957433215236,0.051730957433215236,0.13155277824689054,0.13155277824689054,0.13155277824689054
13,0.5,rank,0,10,9,9,0,1.0,1.0,1.0,0.8888888888888888,0,0.05080168149561127,0.05080168149561127,0.05080168149561127,0.12366627234080209,0.12366627234080209,0.12366627234080209
14,0.5,rank,0,10,8,7,1,0.875,0.875,0.8571428571428571,0.7142857142857143,2,0.04457384325431929,0.03780888323226503,0.07221714164442858,0.12199748541929809,0.12314427441012377,0.12091052889755893
15,0.5,rank,0,10,7,4,3,0.8571428571428571,0.8571428571428571,0.75,0.5,2,0.04555028042817223,0.03715740210533037,0.057853019066920676,0.11413621540952497,0.11574918592915524,0.11223988165478413
16,0.5,rank,0,10,8,8,0,1.0,1.0,1.0,0.875,0,0.05653872289219983,0.05653872289219983,0.05653872289219983,0.12407078697611076,0.12407078697611076,0.12407078697611076
17,0.5,rank,0,11,9,9,0,1.0,0.8888888888888888,0.8888888888888888,0.5555555555555556,1,0.04316444760528065,0.04316444760528065,0.0469873731876202,0.13047039083292516,0.13047039083292516,0.1299975775941545
18,0.5,rank,0,10,8,8,0,1.0,0.875,0.875,0.5,1,0.04385540401085168,0.04385540401085168,0.04712826525967236,0.14053374040938854,0.14053374040938854,0.13745996991758527
19,0.5,rank,0,11,10,10,0,1.0,1.0,0.9,0.7,0,0.04506956196558772,0.04506956196558772,0.04506956196558772,0.12013939298036691,0.12013939298036691,0.12013939298036691
20,0.5,rank,0,10,8,7,1,1.0,0.875,0.7142857142857143,0.2857142857142857,1,0.033599319146692494,0.033599319146692494,0.035653127490419864,0.1285337784355227,0.1285337784355227,0.12804165245127072
21,0.5,rank,0,11,7,6,1,0.8571428571428571,0.5714285714285714,0.8333333333333334,0.5,3,0.035618857810126456,0.03384702308639863,0.07055032252869867,0.1276303058828645,0.1285545203006094,0.12253072104074435
22,0.5,rank,0,10,7,5,2,0.8571428571428571,0.8571428571428571,0.8,0.8,1,0.046573685250908034,0.035220966571549585,0.053857354366559286,0.11581113897085513,0.11680665913013834,0.1150644988513927
23,0.5,rank,0,11,9,8,1,1.0,1.0,0.875,0.875,0,0.04389112984713169,0.04389112984713169,0.04389112984713169,0.12834445816238169,0.12834445816238169,0.12834445816238169
24,0.5,rank,0,10,8,7,1,1.0,0.75,0.7142857142857143,0.7142857142857143,2,0.041277765057843946,0.041277765057843946,0.11471450394754706,0.13006478488841075,0.13006478488841075,0.12338361026537223
25,0.5,rank,0,10,8,6,2,1.0,1.0,1.0,0.6666666666666666,0,0.05008220274273772,0.05008220274273772,0.05008220274273772,0.1323858065104278,0.1323858065104278,0.1323858065104278
26,0.5,rank,0,4,3,0,3,0.6666666666666666,1.0,,,1,0.07478557492749201,0.06138705869295532,0.07478557492749201,0.12063151078742164,0.12530440798368334,0.12063151078742164
27,0.5,rank,0,9,7,5,2,1.0,0.8571428571428571,0.8,0.8,1,0.028061696474885846,0.028061696474885846,0.03418662596932146,0.10323676681538693,0.10323676681538693,0.10279311109222809
28,0.5,rank,0,11,7,7,0,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,1,0.04187371711203961,0.04176542254013903,0.0597562380039244,0.11702806972538804,0.11702806972538804,0.11514837047726774
29,0.5,rank,0,11,9,8,1,0.8888888888888888,1.0,1.0,0.875,1,0.03029664668398585,0.027289038070652208,0.03029664668398585,0.09017121454705268,0.09145326582910396,0.09017121454705268
30,0.5,rank,0,10,8,5,3,1.0,1.0,1.0,1.0,0,0.03094204883753578,0.03094204883753578,0.03094204883753578,0.09088208724195532,0.09088208724195532,0.09088208724195532
31,0.5,rank,0,10,9,7,2,0.8888888888888888,1.0,0.8571428571428571,0.8571428571428571,1,0.0332307617267971,0.028739917875396124,0.0332307617267971,0.08382672080225018,0.08506541769312098,0.08382672080225018
32,0.5,rank,0,11,9,9,0,1.0,1.0,1.0,0.8888888888888888,0,0.02514146952643231,0.02514146952643231,0.02514146952643231,0.09625163749573407,0.09625163749573407,0.09625163749573407
33,0.5,rank,0,9,6,4,2,1.0,1.0,0.75,0.75,0,0.03189123756111269,0.03189123756111269,0.03189123756111269,0.11118178121564341,0.11118178121564341,0.11118178121564341
34,0.5,rank,0,11,8,7,1,1.0,1.0,0.8571428571428571,0.7142857142857143,0,0.028894699015114794,0.028894699015114794,0.028894699015114794,0.10070346711702967,0.10070346711702967,0.10070346711702967
