feature,importance,target,task_type
mean_judge_pct_observed,0.23294155020211083,is_best_mechanism,classification
exit_rate,0.1966607951832582,is_best_mechanism,classification
mean_fan_share_observed,0.1581766606233323,is_best_mechanism,classification
n_weeks,0.06161337272069159,is_best_mechanism,classification
n_exit_weeks,0.05991123107114287,is_best_mechanism,classification
match_rate_rank,0.054804017825596615,is_best_mechanism,classification
controversy_rate,0.04870182756755929,is_best_mechanism,classification
diff_weeks_percent_vs_rank,0.03985057986405823,is_best_mechanism,classification
fan_source_mechanism_rank,0.036813889658680994,is_best_mechanism,classification
fan_source_mechanism_percent,0.032817223103912066,is_best_mechanism,classification
count_withdraw_as_exit,0.03267587739579839,is_best_mechanism,classification
season_era_recent,0.017978207231617093,is_best_mechanism,classification
match_rate_percent,0.009144051492832723,is_best_mechanism,classification
season_era_mid,0.007089920369080441,is_best_mechanism,classification
season_era_early,0.006548132806371333,is_best_mechanism,classification
season_era_late,0.004272662883956968,is_best_mechanism,classification
match_rate_percent,0.9391131976816456,match_rate_percent,regression
mean_fan_share_observed,0.03556041008413851,match_rate_percent,regression
controversy_rate,0.008658861988032744,match_rate_percent,regression
n_exit_weeks,0.005666831275310109,match_rate_percent,regression
n_weeks,0.005066143408569391,match_rate_percent,regression
match_rate_rank,0.0032483695370458376,match_rate_percent,regression
exit_rate,0.0015748335432599545,match_rate_percent,regression
mean_judge_pct_observed,0.0010772025959997291,match_rate_percent,regression
season_era_mid,1.661240444197494e-05,match_rate_percent,regression
season_era_late,1.5286817207002923e-05,match_rate_percent,regression
season_era_recent,2.2506643399776215e-06,match_rate_percent,regression
fan_source_mechanism_rank,3.462125989229373e-15,match_rate_percent,regression
fan_source_mechanism_percent,2.968173897104273e-15,match_rate_percent,regression
season_era_early,1.8266616207576237e-15,match_rate_percent,regression
diff_weeks_percent_vs_rank,9.161582887661565e-16,match_rate_percent,regression
count_withdraw_as_exit,0.0,match_rate_percent,regression
controversy_rate,0.8834155238708594,controversy_rate,regression
diff_weeks_percent_vs_rank,0.09388744325465911,controversy_rate,regression
match_rate_rank,0.01010455210079146,controversy_rate,regression
n_exit_weeks,0.004972175767870372,controversy_rate,regression
exit_rate,0.002506359867673853,controversy_rate,regression
mean_fan_share_observed,0.0015051665856299504,controversy_rate,regression
season_era_late,0.0010992613477404558,controversy_rate,regression
mean_judge_pct_observed,0.0009799041403979441,controversy_rate,regression
season_era_mid,0.0006804539632843169,controversy_rate,regression
count_withdraw_as_exit,0.00041574297405082495,controversy_rate,regression
n_weeks,0.000329526059886965,controversy_rate,regression
match_rate_percent,9.407720248954842e-05,controversy_rate,regression
fan_source_mechanism_rank,6.325996402931157e-06,controversy_rate,regression
fan_source_mechanism_percent,3.4868682627034205e-06,controversy_rate,regression
season_era_early,0.0,controversy_rate,regression
season_era_recent,0.0,controversy_rate,regression
