season_test,model,fan_source_mechanism,n_train,n_test,input_dim,device,epochs_trained,rmse,r2,mae,mc_rmse,mc_r2,uncertainty_mean,uncertainty_std
1,pytorch_deep_resnet,percent,415,6,91,cuda,100,1.0811987473352525,-2.9143738746643066,1.0014493465423584,1.1408754361234257,-3.3584060668945312,0.24644257128238678,0.12339778244495392
1,pytorch_attention_net,percent,415,6,91,cuda,100,1.1328773743041505,-3.297511577606201,1.0675657987594604,1.1557779637344547,-3.4730124473571777,0.34620368480682373,0.1179005578160286
1,pytorch_uncertainty_net,percent,415,6,91,cuda,100,1.1638756416424734,-3.535909652709961,1.0945243835449219,,,,
2,pytorch_deep_resnet,percent,411,10,91,cuda,100,0.4561998679432224,0.276616632938385,0.4093562960624695,0.43015219096559515,0.3568645119667053,0.23935142159461975,0.07836247235536575
2,pytorch_attention_net,percent,411,10,91,cuda,100,0.48325086710872306,0.18828511238098145,0.4540216326713562,0.4908753114936837,0.16246956586837769,0.1959468126296997,0.08753638714551926
2,pytorch_uncertainty_net,percent,411,10,91,cuda,100,0.3848521527431228,0.48519110679626465,0.3392248749732971,,,,
3,pytorch_deep_resnet,percent,410,11,91,cuda,100,0.338163519232385,0.6679801344871521,0.2608069181442261,0.37982638216974274,0.5811284780502319,0.2182350605726242,0.09372425824403763
3,pytorch_attention_net,percent,410,11,91,cuda,100,0.32176210775468905,0.6994059681892395,0.2574743330478668,0.33091601277694005,0.6820592880249023,0.22328528761863708,0.09598065912723541
3,pytorch_uncertainty_net,percent,410,11,91,cuda,100,0.29181914799875874,0.752748966217041,0.23630808293819427,,,,
4,pytorch_deep_resnet,percent,410,11,90,cuda,100,0.20447383131476093,0.7476438879966736,0.16281023621559143,0.2293079935656726,0.6826220750808716,0.16685491800308228,0.05343162640929222
4,pytorch_attention_net,percent,410,11,90,cuda,100,0.18350409286791286,0.7967503070831299,0.1543380618095398,0.18425129765502612,0.7950917482376099,0.19400525093078613,0.08318682014942169
4,pytorch_uncertainty_net,percent,410,11,90,cuda,100,0.17683216238405672,0.8112613558769226,0.1477152705192566,,,,
5,pytorch_deep_resnet,percent,409,12,92,cuda,100,0.2923938960622862,0.7133639454841614,0.2155451625585556,0.31370031387035535,0.6700682640075684,0.21043898165225983,0.08141302317380905
5,pytorch_attention_net,percent,409,12,92,cuda,100,0.23758758354237725,0.810747504234314,0.18301808834075928,0.27725642804123135,0.7422744631767273,0.25360777974128723,0.1272273063659668
5,pytorch_uncertainty_net,percent,409,12,92,cuda,100,0.2508168732960295,0.7890849113464355,0.1907225102186203,,,,
