season_test,model,fan_source_mechanism,n_train,n_test,rmse,r2
1,ridge,percent,415,6,1.1958210624711563,-3.7883257033907274
1,mlp,percent,415,6,1.0534553338741952,-2.7160670312109167
2,ridge,percent,411,10,0.4019452321205645,0.438445452008714
2,mlp,percent,411,10,0.45891252516764497,0.26798832407423356
3,ridge,percent,410,11,0.3297988508920687,0.6842023963476558
3,mlp,percent,410,11,0.3616877078908693,0.620179804837488
4,ridge,percent,410,11,0.1187027962028539,0.9149527546832369
4,mlp,percent,410,11,0.33796217596914296,0.3105948112795338
5,ridge,percent,409,12,0.2674846814539218,0.7601210609627669
5,mlp,percent,409,12,0.28877988992781317,0.7204057849774856
6,ridge,percent,409,12,0.14165973687418823,0.8934437087939291
6,mlp,percent,409,12,0.2618996661065935,0.6357864290587583
7,ridge,percent,408,13,0.19492373480399258,0.8846138949056874
7,mlp,percent,408,13,0.2177767252011526,0.8559719796214103
8,ridge,percent,408,13,0.186367682573786,0.785587563882083
8,mlp,percent,408,13,0.28717931519395107,0.4908859616295429
9,ridge,percent,405,16,0.346944575344787,0.5724299855575488
9,mlp,percent,405,16,0.4561651701701907,0.26085221108379497
10,ridge,percent,410,11,0.18446024021605167,0.7926688610158765
10,mlp,percent,410,11,0.1903360845860998,0.7792497235523376
11,ridge,percent,409,12,0.18016800951430417,0.8678838322083691
11,mlp,percent,409,12,0.2569337807925123,0.7313152471393202
12,ridge,percent,410,11,0.13918663326788536,0.8880679023705544
12,mlp,percent,410,11,0.23339292011707025,0.685272321616696
13,ridge,percent,409,12,0.22328395324904293,0.8237043943704936
13,mlp,percent,409,12,0.21084108106345875,0.8428056506863022
14,ridge,percent,409,12,0.12155760440018605,0.8943274510902754
14,mlp,percent,409,12,0.17096272748748406,0.7909737672133865
15,ridge,percent,408,13,0.1639731255058198,0.8825971044524402
15,mlp,percent,408,13,0.18859377001695318,0.8446940327057305
16,ridge,percent,409,12,0.14312871551040562,0.8453130154484185
16,mlp,percent,409,12,0.1773609656948218,0.7624711777222692
17,ridge,percent,409,12,0.12369616567761221,0.8815564217988996
17,mlp,percent,409,12,0.23334563959132062,0.5784991803246742
18,ridge,percent,409,12,0.1845839388619127,0.851885067748829
18,mlp,percent,409,12,0.26648477026700246,0.6912863634142501
19,ridge,percent,408,13,0.16849313323000567,0.8475142848052892
19,mlp,percent,408,13,0.30672123382444555,0.49469635215910024
20,ridge,percent,409,12,0.1646318073501473,0.8035238975856007
20,mlp,percent,409,12,0.26036168260637066,0.5085986090898014
21,ridge,percent,408,13,0.15340611428763493,0.8680701328271279
21,mlp,percent,408,13,0.2367519418997107,0.6857719966868291
22,ridge,percent,409,12,0.1663123819816341,0.7616851509121056
22,mlp,percent,409,12,0.2116917979582041,0.6138909340299663
23,ridge,percent,408,13,0.1817342690908215,0.7469012436828828
23,mlp,percent,408,13,0.19618144609029023,0.7050609909383454
24,ridge,percent,409,12,0.13950777696941974,0.874756227261994
24,mlp,percent,409,12,0.22076459275836535,0.6863696044999451
25,ridge,percent,408,13,0.14858154895944548,0.8315561243405063
25,mlp,percent,408,13,0.22374622029215352,0.6180232955689099
26,ridge,percent,411,10,0.9147162727063666,-0.8034078296524261
26,mlp,percent,411,10,0.9668753833494281,-1.0149401321586469
27,ridge,percent,408,13,0.1493251039315725,0.8783690087768359
27,mlp,percent,408,13,0.24012274271188375,0.6854822318694584
28,ridge,percent,409,12,0.09597673427444288,0.9275570455186102
28,mlp,percent,409,12,0.19823283243129944,0.6909595055691498
29,ridge,percent,406,15,0.3299074635107479,0.020898143179149398
29,mlp,percent,406,15,0.49062819432303517,-1.1654521723608644
30,ridge,percent,406,15,0.2438535188676808,0.42826259234337594
30,mlp,percent,406,15,0.4258824612528387,-0.7438858942457314
31,ridge,percent,405,16,0.23610185789291277,0.6350554649408244
31,mlp,percent,405,16,0.2774433319641506,0.49606254488549906
32,ridge,percent,407,14,0.1163737263312222,0.9303646072992795
32,mlp,percent,407,14,0.15900437620822913,0.8700015116641578
33,ridge,percent,408,13,0.17026991470799369,0.8360795718741796
33,mlp,percent,408,13,0.3280894947032135,0.39138606473492976
34,ridge,percent,407,14,0.2492321938103611,0.4532944883573824
34,mlp,percent,407,14,0.49710926960201757,-1.1749480836482733
