feature,importance,targets
mechanism_rank,0.3266071963534085,champion_mode_prob_robustness_score_tpi_season_avg
season_era_early,0.17509790963195662,champion_mode_prob_robustness_score_tpi_season_avg
season_era_recent,0.09726702648235554,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_log,0.0952600752909667,champion_mode_prob_robustness_score_tpi_season_avg
season_era_late,0.08207001455115213,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_judge_save,0.05594511981118313,champion_mode_prob_robustness_score_tpi_season_avg
season_era_mid,0.042941742724543874,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_sqrt,0.04240092095469803,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent_cap,0.03178863628182815,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_percent,0.02684812865502538,champion_mode_prob_robustness_score_tpi_season_avg
mechanism_dynamic_weight,0.02377322926288189,champion_mode_prob_robustness_score_tpi_season_avg
outlier_mult,0.0,champion_mode_prob_robustness_score_tpi_season_avg
alpha,0.0,champion_mode_prob_robustness_score_tpi_season_avg
n_sims,0.0,champion_mode_prob_robustness_score_tpi_season_avg
robust_fail_rate,0.7718939968926055,robust_fail_rate
robustness_score,0.2281060031073846,robust_fail_rate
system_balance,3.122371680620626e-15,robust_fail_rate
tpi_season_avg,2.947696615842064e-15,robust_fail_rate
fan_vs_uniform_contrast,8.38244930069386e-16,robust_fail_rate
champion_entropy,8.35230420818869e-16,robust_fail_rate
champion_mode_prob,5.67179801526532e-16,robust_fail_rate
champion_predictability,4.2721224127443293e-16,robust_fail_rate
season_era_recent,2.0221738533293753e-16,robust_fail_rate
mechanism_rank,1.848224743926037e-16,robust_fail_rate
season_era_mid,1.387966549776245e-16,robust_fail_rate
mechanism_percent_cap,1.2331028795651676e-16,robust_fail_rate
mechanism_percent_log,1.083606577295237e-16,robust_fail_rate
season_era_late,7.404384346673297e-17,robust_fail_rate
mechanism_percent_sqrt,7.314869090808375e-17,robust_fail_rate
season_era_early,6.941721081661492e-17,robust_fail_rate
mechanism_percent,6.843050519430125e-17,robust_fail_rate
mechanism_percent_judge_save,2.987712069840603e-17,robust_fail_rate
mechanism_dynamic_weight,1.058081936917295e-17,robust_fail_rate
n_sims,0.0,robust_fail_rate
alpha,0.0,robust_fail_rate
outlier_mult,0.0,robust_fail_rate
alpha_outlier_interaction,0.0,robust_fail_rate
