season,alpha,fan_source_mechanism,count_withdraw_as_exit,n_weeks,n_exit_weeks,n_single_exit_weeks,n_multi_exit_weeks,match_rate_percent,match_rate_rank,match_rate_percent_judge_save,match_rate_rank_judge_save,diff_weeks_percent_vs_rank,mean_fan_share_observed,mean_fan_share_pred_percent,mean_fan_share_pred_rank,mean_judge_pct_observed,mean_judge_pct_pred_percent,mean_judge_pct_pred_rank,seed
1,0.5,percent,1,6,3,3,0,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0.068516475084209,0.068516475084209,0.068516475084209,0.1838018110857248,0.1838018110857248,0.1838018110857248,20260130
2,0.5,percent,1,8,7,7,0,1.0,1.0,0.4285714285714285,0.8571428571428571,0,0.0591023335853051,0.0591023335853051,0.0591023335853051,0.1288014736531854,0.1288014736531854,0.1288014736531854,20260130
3,0.5,percent,1,10,7,6,1,1.0,1.0,0.5,0.6666666666666666,0,0.053920812701361,0.053920812701361,0.053920812701361,0.1334459823246791,0.1334459823246791,0.1334459823246791,20260130
4,0.5,percent,1,10,8,8,0,1.0,0.875,0.375,0.625,1,0.0544448462621506,0.0544448462621506,0.0668212524640325,0.1271455087423343,0.1271455087423343,0.1256749205070401,20260130
5,0.5,percent,1,10,9,9,0,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,1,0.0513431063572519,0.0513431063572519,0.0573708562741877,0.1300610049208372,0.1300610049208372,0.1286604446967475,20260130
6,0.5,percent,1,10,8,7,1,1.0,0.875,0.5714285714285714,0.5714285714285714,1,0.0545684466460424,0.0545684466460424,0.0739693139629481,0.1328162616828146,0.1328162616828146,0.1323480968888071,20260130
7,0.5,percent,1,10,8,6,2,1.0,0.875,0.6666666666666666,0.6666666666666666,1,0.0557658553536286,0.0557658553536286,0.0658158319381897,0.1277606886108957,0.1277606886108957,0.1271196629698701,20260130
8,0.5,percent,1,11,9,8,1,1.0,1.0,0.5,0.625,0,0.0532349654226749,0.0532349654226749,0.0532349654226749,0.1191480104932065,0.1191480104932065,0.1191480104932065,20260130
9,0.5,percent,1,10,9,5,4,1.0,1.0,0.4,0.4,0,0.0489759996378921,0.0489759996378921,0.0489759996378921,0.1106303887389842,0.1106303887389842,0.1106303887389842,20260130
10,0.5,percent,1,10,8,8,0,1.0,0.875,0.625,0.875,1,0.0545714928085625,0.0545714928085625,0.0607193946316418,0.1267819680425603,0.1267819680425603,0.124509240769833,20260130
11,0.5,percent,1,10,9,9,0,1.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,2,0.0518258028065247,0.0518258028065247,0.0789702195833113,0.1274012708121119,0.1274012708121119,0.1215007128026664,20260130
12,0.5,percent,1,10,8,8,0,1.0,1.0,0.5,0.5,0,0.0536620072957494,0.0536620072957494,0.0536620072957494,0.1315527782468905,0.1315527782468905,0.1315527782468905,20260130
13,0.5,percent,1,10,9,9,0,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.0516565014691305,0.0516565014691305,0.0516565014691305,0.123666272340802,0.123666272340802,0.123666272340802,20260130
14,0.5,percent,1,10,8,7,1,1.0,0.875,0.8571428571428571,0.8571428571428571,1,0.0512636502582306,0.0512636502582306,0.0791900701465974,0.121997485419298,0.121997485419298,0.1209105288975589,20260130
15,0.5,percent,1,10,7,4,3,1.0,0.5714285714285714,0.25,0.25,3,0.0492784410640661,0.0492784410640661,0.072316365821357,0.1141362154095249,0.1141362154095249,0.1115159669474521,20260130
16,0.5,percent,1,10,9,9,0,1.0,1.0,0.8888888888888888,0.8888888888888888,0,0.0521627579858288,0.0521627579858288,0.0521627579858288,0.1171157450716613,0.1171157450716613,0.1171157450716613,20260130
17,0.5,percent,1,11,9,9,0,1.0,0.7777777777777778,0.5555555555555556,0.4444444444444444,2,0.052071224907636,0.052071224907636,0.0736845433908207,0.1304703908329251,0.1304703908329251,0.126928044028167,20260130
18,0.5,percent,1,10,8,7,1,1.0,1.0,0.4285714285714285,0.5714285714285714,0,0.0510553082593572,0.0510553082593572,0.0510553082593572,0.1389968551634869,0.1389968551634869,0.1389968551634869,20260130
19,0.5,percent,1,11,10,10,0,1.0,1.0,0.5,0.8,0,0.050533325678386,0.050533325678386,0.050533325678386,0.1201393929803669,0.1201393929803669,0.1201393929803669,20260130
20,0.5,percent,1,10,8,7,1,1.0,0.375,0.1428571428571428,0.1428571428571428,5,0.0509322138298721,0.0509322138298721,0.115655929526022,0.1285337784355227,0.1285337784355227,0.1190274764618795,20260130
21,0.5,percent,1,11,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.0551506822457446,0.0551506822457446,0.0983731270151178,0.1255501880371656,0.1255501880371656,0.1221591387969997,20260130
22,0.5,percent,1,10,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.0496157619696002,0.0496157619696002,0.0822231617664831,0.1158111389708551,0.1158111389708551,0.1139703102739556,20260130
23,0.5,percent,1,11,9,8,1,1.0,0.8888888888888888,0.625,0.625,1,0.0512284067822222,0.0512284067822222,0.0697160882248902,0.1283444581623816,0.1283444581623816,0.1268275829253699,20260130
24,0.5,percent,1,10,8,7,1,1.0,0.625,0.4285714285714285,0.7142857142857143,3,0.0520602617769895,0.0520602617769895,0.0987325936576986,0.1300647848884107,0.1300647848884107,0.1248854090633221,20260130
25,0.5,percent,1,10,8,6,2,1.0,0.75,0.5,0.6666666666666666,2,0.0526468650985012,0.0526468650985012,0.074970589906632,0.1323858065104278,0.1323858065104278,0.1297282129021943,20260130
26,0.5,percent,1,4,3,0,3,1.0,0.6666666666666666,,,1,0.0576688704661976,0.0576688704661976,0.0727474881174512,0.1206315107874216,0.1206315107874216,0.1193854048684185,20260130
27,0.5,percent,1,9,7,5,2,1.0,0.5714285714285714,0.0,0.2,3,0.0448809457142912,0.0448809457142912,0.0749023742092769,0.1032367668153869,0.1032367668153869,0.0955586702073323,20260130
28,0.5,percent,1,11,7,6,1,1.0,0.8571428571428571,0.5,0.6666666666666666,1,0.0508389915589694,0.0508389915589694,0.0611733273032726,0.117028069725388,0.117028069725388,0.1151483704772677,20260130
29,0.5,percent,1,11,9,7,2,1.0,1.0,0.4285714285714285,0.8571428571428571,0,0.0424903865095401,0.0424903865095401,0.0424903865095401,0.0908122401880783,0.0908122401880783,0.0908122401880783,20260130
30,0.5,percent,1,10,8,5,3,1.0,0.875,0.6,0.6,1,0.0429606959291154,0.0429606959291154,0.0501276754777517,0.0908820872419553,0.0908820872419553,0.089583385943254,20260130
31,0.5,percent,1,10,9,6,3,1.0,0.8888888888888888,0.1666666666666666,0.6666666666666666,1,0.0429124027151404,0.0429124027151404,0.0455082914511749,0.0844460692476855,0.0844460692476855,0.0838886556467937,20260130
32,0.5,percent,1,11,9,9,0,1.0,0.7777777777777778,0.2222222222222222,0.2222222222222222,2,0.0423113123001493,0.0423113123001493,0.0574487987183662,0.096251637495734,0.096251637495734,0.0951287060536536,20260130
33,0.5,percent,1,9,6,4,2,1.0,1.0,0.5,0.75,0,0.0460957932556341,0.0460957932556341,0.0460957932556341,0.1111817812156434,0.1111817812156434,0.1111817812156434,20260130
34,0.5,percent,1,11,8,7,1,1.0,0.75,0.1428571428571428,0.5714285714285714,2,0.0443185951630907,0.0443185951630907,0.0663078700208463,0.1007034671170296,0.1007034671170296,0.0986052863218308,20260130
1,0.5,percent,0,6,3,3,0,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0.068516475084209,0.068516475084209,0.068516475084209,0.1838018110857248,0.1838018110857248,0.1838018110857248,20260130
2,0.5,percent,0,8,7,7,0,1.0,1.0,0.4285714285714285,0.8571428571428571,0,0.0591023335853051,0.0591023335853051,0.0591023335853051,0.1288014736531854,0.1288014736531854,0.1288014736531854,20260130
3,0.5,percent,0,10,7,7,0,0.8571428571428571,0.8571428571428571,0.4285714285714285,0.5714285714285714,0,0.053639126259712,0.0542024991430099,0.0542024991430099,0.1346298812986333,0.1322620833507248,0.1322620833507248,20260130
4,0.5,percent,0,10,8,8,0,1.0,0.875,0.375,0.625,1,0.0544448462621506,0.0544448462621506,0.0668212524640325,0.1271455087423343,0.1271455087423343,0.1256749205070401,20260130
5,0.5,percent,0,10,9,9,0,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,1,0.0513431063572519,0.0513431063572519,0.0573708562741877,0.1300610049208372,0.1300610049208372,0.1286604446967475,20260130
6,0.5,percent,0,10,8,7,1,1.0,0.875,0.5714285714285714,0.5714285714285714,1,0.0545684466460424,0.0545684466460424,0.0739693139629481,0.1328162616828146,0.1328162616828146,0.1323480968888071,20260130
7,0.5,percent,0,10,8,7,1,1.0,0.875,0.7142857142857143,0.7142857142857143,1,0.0559384010892635,0.0559384010892635,0.0659883776738246,0.1266294668914387,0.1266294668914387,0.125988441250413,20260130
8,0.5,percent,0,11,9,8,1,1.0,1.0,0.5,0.625,0,0.0532349654226749,0.0532349654226749,0.0532349654226749,0.1191480104932065,0.1191480104932065,0.1191480104932065,20260130
9,0.5,percent,0,10,9,6,3,0.8888888888888888,0.8888888888888888,0.3333333333333333,0.3333333333333333,0,0.0487519440549513,0.0492000552208329,0.0492000552208329,0.1110610519603451,0.1101997255176233,0.1101997255176233,20260130
10,0.5,percent,0,10,8,8,0,1.0,0.875,0.625,0.875,1,0.0545714928085625,0.0545714928085625,0.0607193946316418,0.1267819680425603,0.1267819680425603,0.124509240769833,20260130
11,0.5,percent,0,10,9,9,0,1.0,0.7777777777777778,0.6666666666666666,0.5555555555555556,2,0.0518258028065247,0.0518258028065247,0.0789702195833113,0.1274012708121119,0.1274012708121119,0.1215007128026664,20260130
12,0.5,percent,0,10,8,8,0,1.0,1.0,0.5,0.5,0,0.0536620072957494,0.0536620072957494,0.0536620072957494,0.1315527782468905,0.1315527782468905,0.1315527782468905,20260130
13,0.5,percent,0,10,9,9,0,1.0,1.0,0.6666666666666666,0.6666666666666666,0,0.0516565014691305,0.0516565014691305,0.0516565014691305,0.123666272340802,0.123666272340802,0.123666272340802,20260130
14,0.5,percent,0,10,8,7,1,1.0,0.875,0.8571428571428571,0.8571428571428571,1,0.0512636502582306,0.0512636502582306,0.0791900701465974,0.121997485419298,0.121997485419298,0.1209105288975589,20260130
15,0.5,percent,0,10,7,4,3,1.0,0.5714285714285714,0.25,0.25,3,0.0492784410640661,0.0492784410640661,0.072316365821357,0.1141362154095249,0.1141362154095249,0.1115159669474521,20260130
16,0.5,percent,0,10,8,8,0,1.0,1.0,0.875,0.875,0,0.053894601997274,0.053894601997274,0.053894601997274,0.1240707869761107,0.1240707869761107,0.1240707869761107,20260130
17,0.5,percent,0,11,9,9,0,1.0,0.7777777777777778,0.5555555555555556,0.4444444444444444,2,0.052071224907636,0.052071224907636,0.0736845433908207,0.1304703908329251,0.1304703908329251,0.126928044028167,20260130
18,0.5,percent,0,10,8,8,0,0.875,0.875,0.375,0.5,0,0.0511543027992989,0.0509563137194155,0.0509563137194155,0.1405337404093885,0.1374599699175852,0.1374599699175852,20260130
19,0.5,percent,0,11,10,10,0,1.0,1.0,0.5,0.8,0,0.050533325678386,0.050533325678386,0.050533325678386,0.1201393929803669,0.1201393929803669,0.1201393929803669,20260130
20,0.5,percent,0,10,8,7,1,1.0,0.375,0.1428571428571428,0.1428571428571428,5,0.0509322138298721,0.0509322138298721,0.115655929526022,0.1285337784355227,0.1285337784355227,0.1190274764618795,20260130
21,0.5,percent,0,11,7,6,1,0.7142857142857143,0.4285714285714285,0.5,0.5,2,0.0548246493061093,0.0556385123412911,0.0988609571106643,0.1276303058828645,0.1228539272463035,0.1194628780061376,20260130
